date,close,close1,yt,yt2
12/14/16,42.2,42.23,-0.00030863,9.52528E-08
12/13/16,42.23,42.47,-0.00246118,6.0574E-06
12/12/16,42.47,43.23,-0.007702975,5.93358E-05
12/9/16,43.23,43.09,0.001408741,1.98455E-06
12/8/16,43.09,42.29,0.008138809,6.62402E-05
12/7/16,42.29,41.92,0.003816411,1.4565E-05
12/6/16,41.92,40.55,0.014430415,0.000208237
12/5/16,40.55,40.24,0.003332886,1.11081E-05
12/2/16,40.24,40.41,-0.001830878,3.35212E-06
12/1/16,40.41,39.79,0.006714911,4.509E-05
11/30/16,39.79,38.5,0.01431321,0.000204868
11/29/16,38.5,38.41,0.001016422,1.03311E-06
11/28/16,38.41,39.1,-0.00773245,5.97908E-05
11/25/16,39.1,39.12,-0.000222089,4.93234E-08
11/23/16,39.12,38.66,0.005136996,2.63887E-05
11/22/16,38.66,38.54,0.001350139,1.82288E-06
11/21/16,38.54,38.21,0.003734673,1.39478E-05
11/18/16,38.21,37.91,0.003423253,1.17187E-05
11/17/16,37.91,37.46,0.005186011,2.68947E-05
11/16/16,37.46,38.76,-0.014815995,0.000219514
11/15/16,38.76,38.43,0.003713384,1.37892E-05
11/14/16,38.43,36.97,0.016820934,0.000282944
11/11/16,36.97,36.6,0.004368365,1.90826E-05
11/10/16,36.6,34.62,0.024154022,0.000583417
11/9/16,34.62,32.4,0.028782053,0.000828407
11/8/16,32.4,32.25,0.002015291,4.0614E-06
11/7/16,32.25,31.39,0.011738403,0.00013779
11/4/16,31.39,31.17,0.003054513,9.33005E-06
11/3/16,31.17,30.96,0.00293585,8.61922E-06
11/2/16,30.96,32.24,-0.017594081,0.000309552
11/1/16,32.24,32.21,0.000404308,1.63465E-07
10/31/16,32.21,32.09,0.001621008,2.62767E-06
10/28/16,32.09,32.38,-0.003907127,1.52656E-05
10/27/16,32.38,32.14,0.003230972,1.04392E-05
10/26/16,32.14,32.08,0.000811513,6.58553E-07
10/25/16,32.08,32.43,-0.004712589,2.22085E-05
10/24/16,32.43,32.34,0.001206933,1.45669E-06
10/21/16,32.34,32.26,0.001075653,1.15703E-06
10/20/16,32.26,32.07,0.002565403,6.58129E-06
10/19/16,32.07,31.17,0.012362158,0.000152823
10/18/16,31.17,30.65,0.007306323,5.33824E-05
10/17/16,30.65,30.86,-0.002965443,8.79385E-06
10/14/16,30.86,30.36,0.007094155,5.0327E-05
10/13/16,30.36,31.21,-0.011992001,0.000143808
10/12/16,31.21,31.3,-0.001250569,1.56392E-06
10/11/16,31.3,31.81,-0.007019332,4.9271E-05
10/10/16,31.81,31.73,0.001093597,1.19595E-06
10/7/16,31.73,31.68,0.000684899,4.69087E-07
10/6/16,31.68,31.82,-0.001915002,3.66723E-06
10/5/16,31.82,31.4,0.005770527,3.3299E-05
10/4/16,31.4,31.11,0.004029637,1.6238E-05
10/3/16,31.11,31.02,0.001258218,1.58311E-06
9/30/16,31.02,30.52,0.007057264,4.9805E-05
9/29/16,30.52,30.85,-0.004670639,2.18149E-05
9/28/16,30.85,30.41,0.006238748,3.8922E-05
9/27/16,30.41,30.02,0.005605732,3.14242E-05
9/26/16,30.02,30.61,-0.008452642,7.14472E-05
9/23/16,30.61,30.28,0.004707459,2.21602E-05
9/22/16,30.28,29.99,0.004179405,1.74674E-05
9/21/16,29.99,29.87,0.001741243,3.03193E-06
9/20/16,29.87,29.9,-0.000435966,1.90066E-07
9/19/16,29.9,29.9,0,0
9/16/16,29.9,30.35,-0.006487507,4.20877E-05
9/15/16,30.35,30.04,0.004458767,1.98806E-05
9/14/16,30.04,30.25,-0.003025451,9.15335E-06
9/13/16,30.25,30.94,-0.00979493,9.59407E-05
9/12/16,30.94,30.57,0.005224871,2.72993E-05
9/9/16,30.57,30.69,-0.00170145,2.89493E-06
9/8/16,30.69,30.58,0.001559407,2.43175E-06
9/7/16,30.58,30.39,0.002706781,7.32666E-06
9/6/16,30.39,30.97,-0.008210505,6.74124E-05
9/2/16,30.97,30.57,0.005645767,3.18747E-05
9/1/16,30.57,30.59,-0.000284038,8.06777E-08
8/31/16,30.59,30.33,0.003707067,1.37423E-05
8/30/16,30.33,30.01,0.004606415,2.12191E-05
8/29/16,30.01,29.67,0.004948449,2.44871E-05
8/26/16,29.67,29.42,0.003674878,1.35047E-05
8/25/16,29.42,29.28,0.002071596,4.29151E-06
8/24/16,29.28,29.28,0,0
8/23/16,29.28,29.26,0.000296751,8.80609E-08
8/22/16,29.26,29.23,0.000445506,1.98476E-07
8/19/16,29.23,29.08,0.002234413,4.9926E-06
8/18/16,29.08,28.69,0.005863854,3.43848E-05
8/17/16,28.69,28.64,0.000757535,5.73859E-07
8/16/16,28.64,28.63,0.000151666,2.30025E-08
8/15/16,28.63,28.14,0.007497255,5.62088E-05
8/12/16,28.14,28.28,-0.002155312,4.64537E-06
8/11/16,28.28,28.31,-0.000460464,2.12027E-07
8/10/16,28.31,28.8,-0.007452618,5.55415E-05
8/9/16,28.8,28.74,0.000905724,8.20336E-07
8/8/16,28.74,28.89,-0.002260778,5.11112E-06
8/5/16,28.89,27.73,0.017797672,0.000316757
8/4/16,27.73,27.47,0.00409121,1.6738E-05
8/3/16,27.47,27.04,0.006851972,4.69495E-05
8/2/16,27.04,27.35,-0.004950643,2.45089E-05
8/1/16,27.35,27.88,-0.008335439,6.94795E-05
7/29/16,27.88,28.14,-0.004031324,1.62516E-05
7/28/16,28.14,27.98,0.002476383,6.13247E-06
7/27/16,27.98,26.59,0.022129373,0.000489709
7/26/16,26.59,26.3,0.004762589,2.26823E-05
